,code,gii
1,ALB,0.734
2,DZA,0.629
3,AGO,0.633
4,ARG,0.733
5,ARM,0.678
6,AUS,0.73
7,AUT,0.718
8,AZE,0.68
9,BHS,0.741
10,BHR,0.627
11,BGD,0.721
12,BRB,0.753
13,BLR,0.747
14,BEL,0.738
15,BLZ,0.662
16,BEN,0.654
17,BTN,0.638
20,BWA,0.715
21,BRA,0.681
22,BRN,0.686
23,BGR,0.756
24,BFA,0.629
25,BDI,0.741
26,KHM,0.683
27,CMR,0.714
28,CAN,0.771
30,TCD,0.58
31,CHL,0.717
32,CHN,0.673
33,COL,0.729
35,CRI,0.749
36,CIV,0.627
37,HRV,0.712
38,CUB,0.749
39,CYP,0.684
42,DNK,0.778
43,DOM,0.701
44,ECU,0.729
45,EGY,0.614
46,SLV,0.69
47,EST,0.734
49,ETH,0.656
50,FJI,0.669
51,FIN,0.821
52,FRA,0.779
54,GEO,0.677
55,DEU,0.776
56,GHA,0.688
57,GRC,0.696
58,GTM,0.668
59,GIN,0.656
61,HND,0.706
62,HUN,0.674
63,ISL,0.858
64,IND,0.665
65,IDN,0.691
68,IRL,0.796
69,ISR,0.722
70,ITA,0.706
71,JAM,0.724
72,JPN,0.662
73,JOR,0.605
74,KAZ,0.712
75,KEN,0.7
77,KWT,0.63
80,LVA,0.758
81,LBN,0.595
82,LSO,0.693
83,LBR,0.681
84,LTU,0.749
85,LUX,0.712
86,MDG,0.691
87,MWI,0.662
88,MYS,0.676
89,MDV,0.662
90,MLI,0.582
91,MLT,0.686
92,MRT,0.607
93,MUS,0.663
94,MEX,0.721
96,MNG,0.714
97,MNE,0.706
98,MAR,0.607
99,MOZ,0.721
100,MMR,0.69
101,NAM,0.789
104,NZL,0.801
105,NIC,0.809
107,NGA,0.621
108,MKD,0.707
109,NOR,0.835
110,OMN,0.605
111,PAK,0.55
112,PAN,0.722
114,PRY,0.672
115,PER,0.72
116,PHL,0.799
117,POL,0.728
118,PRT,0.732
119,QAT,0.629
120,ROU,0.711
122,RWA,0.804
123,SAU,0.59
124,SEN,0.682
125,SRB,0.73
127,SGP,0.707
128,SVK,0.693
129,SVN,0.784
130,ZAF,0.755
131,ESP,0.746
132,LKA,0.676
133,SUR,0.695
134,SWE,0.822
135,CHE,0.755
137,TJK,0.638
139,THA,0.702
140,TLS,0.638
143,TUN,0.648
145,UGA,0.724
146,UKR,0.708
147,ARE,0.642
150,URY,0.715
154,YEM,0.499
156,ZWE,0.721
